seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	3817362	3817396	35	*	X00031	339448	3805697	3816857	11161	-	504	upstream	504	C1orf174
chr1	3817414	3817428	15	*	X00032	339448	3805697	3816857	11161	-	556	upstream	556	C1orf174
chr1	6052991	6053012	22	*	X00033	261734	5922870	6052533	129664	-	457	upstream	457	NPHP4
chr1	6259485	6259629	145	*	X00034	6146	6245080	6259679	14600	-	0	inside	49	RPL22
chr1	6259735	6259930	196	*	X00035	6146	6245080	6259679	14600	-	55	upstream	55	RPL22
chr1	6259956	6259973	18	*	X00036	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X00037	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	6295821	6295857	37	*	X00038	23463	6281253	6296044	14792	-	0	inside	186	ICMT
chr1	6295872	6295888	17	*	X00039	23463	6281253	6296044	14792	-	0	inside	155	ICMT
chr1	6295903	6295914	12	*	X00040	23463	6281253	6296044	14792	-	0	inside	129	ICMT
chr1	6614429	6614659	231	*	X00042	79707	6581407	6614658	33252	-	0	overlapStart	0	NOL9
chr1	6614429	6614659	231	*	X00042	80835	6615338	6639817	24480	+	678	upstream	678	TAS1R1
chr1	6662477	6662922	446	*	X00047	9903	6650779	6662929	12151	-	0	inside	6	KLHL21
chr1	6673982	6674025	44	*	X00048	148479	6673756	6684093	10338	+	0	inside	225	PHF13
chr1	6674044	6674056	13	*	X00049	148479	6673756	6684093	10338	+	0	inside	287	PHF13
chr1	6761672	6761718	47	*	X00051	55735	6694228	6761966	67739	-	0	inside	247	DNAJC11
chr1	6761730	6762159	430	*	X00052	55735	6694228	6761966	67739	-	0	overlapStart	0	DNAJC11
chr1	7844419	7844529	111	*	X00053	8863	7844380	7905237	60858	+	0	inside	38	PER3
chr1	8021376	8021386	11	*	X00054	11315	8021714	8045342	23629	+	327	upstream	327	PARK7
chr1	8021413	8021530	118	*	X00055	11315	8021714	8045342	23629	+	183	upstream	183	PARK7
chr1	8021760	8022092	333	*	X00056	11315	8021714	8045342	23629	+	0	inside	45	PARK7
chr1	8877604	8877756	153	*	X00061	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	8939148	8939169	22	*	X00062	100505975	8938894	8939943	1050	+	0	inside	253	ENO1-AS1
chr1	8939148	8939169	22	*	X00062	2023	8921059	8939151	18093	-	0	overlapStart	0	ENO1
chr1	9884604	9884701	98	*	X00065	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	10003197	10003673	477	*	X00066	64802	10003486	10045556	42071	+	0	overlapStart	0	NMNAT1
chr1	10003197	10003673	477	*	X00066	84328	9989776	10003427	13652	-	0	overlapStart	0	LZIC
chr1	10490364	10490724	361	*	X00067	100526739	10490159	10512060	21902	+	0	inside	204	CENPS-CORT
chr1	10490364	10490724	361	*	X00067	378708	10490159	10502872	12714	+	0	inside	204	CENPS
chr1	10532482	10532499	18	*	X00069	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X00070	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	10534885	10535117	233	*	X00071	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10535134	10535153	20	*	X00072	5195	10535003	10690815	155813	+	0	inside	130	PEX14
chr1	10856556	10856976	421	*	X00074	54897	10696666	10856733	160068	-	0	overlapStart	0	CASZ1
chr1	11072454	11072512	59	*	X00075	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072842	228	*	X00076	23435	11072679	11085549	12871	+	0	overlapStart	0	TARDBP
chr1	11159788	11159969	182	*	X00077	5394	11126676	11159938	33263	-	0	overlapStart	0	EXOSC10
chr1	11322835	11323036	202	*	X00078	2475	11166588	11322608	156021	-	226	upstream	226	MTOR
chr1	11333250	11333517	268	*	X00079	29914	11333255	11348491	15237	+	0	overlapStart	0	UBIAD1
chr1	11539077	11539309	233	*	X00080	57540	11539295	11597640	58346	+	0	overlapStart	0	DISP3
chr1	11994780	11994815	36	*	X00084	5351	11994724	12035599	40876	+	0	inside	55	PLOD1
chr1	12289934	12289988	55	*	X00085	55187	12290113	12572098	281986	+	124	upstream	124	VPS13D
chr1	12290109	12290192	84	*	X00086	55187	12290113	12572098	281986	+	0	overlapStart	0	VPS13D
chr1	15479805	15479878	74	*	X00087	200197	15438311	15478960	40650	-	844	upstream	844	TMEM51-AS1
chr1	15479923	15479970	48	*	X00088	200197	15438311	15478960	40650	-	962	upstream	962	TMEM51-AS1
chr1	15480225	15480286	62	*	X00089	200197	15438311	15478960	40650	-	1264	upstream	1264	TMEM51-AS1
chr1	15573532	15573542	11	*	X00090	114827	15573768	15726778	153011	+	225	upstream	225	FHAD1
chr1	15573603	15573635	33	*	X00091	114827	15573768	15726778	153011	+	132	upstream	132	FHAD1
chr1	15736262	15736410	149	*	X00092	79180	15736391	15756839	20449	+	0	overlapStart	0	EFHD2
chr1	15853084	15853110	27	*	X00093	23341	15853352	15918874	65523	+	241	upstream	241	DNAJC16
chr1	15853084	15853110	27	*	X00093	842	15817324	15851285	33962	-	1798	upstream	1798	CASP9
chr1	15853308	15853521	214	*	X00094	23341	15853352	15918874	65523	+	0	overlapStart	0	DNAJC16
chr1	16174024	16174061	38	*	X00097	23013	16174359	16266950	92592	+	297	upstream	297	SPEN
chr1	16302408	16302643	236	*	X00098	7709	16268364	16302627	34264	-	0	overlapStart	0	ZBTB17
chr1	16482469	16482508	40	*	X00099	1969	16450832	16482582	31751	-	0	inside	73	EPHA2
chr1	16678604	16679185	582	*	X00100	54455	16576559	16678948	102390	-	0	overlapStart	0	FBXO42
chr1	16693485	16693552	68	*	X00101	26099	16693525	16724643	31119	+	0	overlapStart	0	SZRD1
chr1	16767052	16767129	78	*	X00102	55707	16767167	16786584	19418	+	37	upstream	37	NECAP2
chr1	16767174	16767300	127	*	X00103	55707	16767167	16786584	19418	+	0	inside	6	NECAP2
chr1	16767333	16767374	42	*	X00104	55707	16767167	16786584	19418	+	0	inside	165	NECAP2
chr1	16939773	16940386	614	*	X00111	55672	16888922	16940100	51179	-	0	overlapStart	0	NBPF1
chr1	16970939	16971495	557	*	X00112	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16970939	16971495	557	*	X00112	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	17380540	17380550	11	*	X00120	6390	17345225	17380665	35441	-	0	inside	114	SDHB
chr1	17380727	17380738	12	*	X00121	6390	17345225	17380665	35441	-	61	upstream	61	SDHB
chr1	18081704	18081908	205	*	X00123	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	19577982	19578361	380	*	X00124	23065	19542158	19578053	35896	-	0	overlapStart	0	EMC1
chr1	19577982	19578361	380	*	X00124	51154	19578075	19586622	8548	+	0	overlapStart	0	MRTO4
chr1	19638501	19638521	21	*	X00125	54896	19638740	19658922	20183	+	218	upstream	218	SLC66A1
chr1	19638501	19638521	21	*	X00125	8574	19629202	19638640	9439	-	0	inside	118	AKR7A2
chr1	19638536	19638588	53	*	X00126	54896	19638740	19658922	20183	+	151	upstream	151	SLC66A1
chr1	19638536	19638588	53	*	X00126	8574	19629202	19638640	9439	-	0	inside	51	AKR7A2
chr1	21672461	21672548	88	*	X00129	1889	21543740	21672034	128295	-	426	upstream	426	ECE1
chr1	22109512	22109666	155	*	X00130	84196	22004792	22109688	104897	-	0	inside	21	USP48
chr1	22109688	22109726	39	*	X00131	84196	22004792	22109688	104897	-	0	overlapStart	0	USP48
chr1	22379162	22379300	139	*	X00132	998	22379120	22419436	40317	+	0	inside	41	CDC42
chr1	22777967	22777982	16	*	X00133	9923	22778344	22857650	79307	+	361	upstream	361	ZBTB40
chr1	22778007	22778022	16	*	X00134	9923	22778344	22857650	79307	+	321	upstream	321	ZBTB40
chr1	22778042	22778086	45	*	X00135	9923	22778344	22857650	79307	+	257	upstream	257	ZBTB40
chr1	22778194	22778564	371	*	X00136	9923	22778344	22857650	79307	+	0	overlapStart	0	ZBTB40
chr1	23345762	23345910	149	*	X00137	23028	23345941	23410184	64244	+	30	upstream	30	KDM1A
chr1	23346014	23346118	105	*	X00138	23028	23345941	23410184	64244	+	0	inside	72	KDM1A
chr1	23670690	23670774	85	*	X00139	10236	23636276	23670853	34578	-	0	inside	78	HNRNPR
chr1	23695395	23695491	97	*	X00140	148898	23695464	23698330	2867	+	0	overlapStart	0	ZNF436-AS1
chr1	24069888	24070103	216	*	X00141	6924	24069856	24088549	18694	+	0	inside	31	ELOA
chr1	24104918	24105126	209	*	X00142	100506963	24086872	24104787	17916	-	130	upstream	130	ELOA-AS1
chr1	24104918	24105126	209	*	X00142	57095	24104876	24114722	9847	+	0	inside	41	PITHD1
chr1	24117592	24117607	16	*	X00143	11313	24117646	24122029	4384	+	38	upstream	38	LYPLA2
chr1	24127346	24127499	154	*	X00144	2582	24122089	24127294	5206	-	51	upstream	51	GALE
chr1	24285557	24285599	43	*	X00146	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24969273	24969352	80	*	X00148	10250	24969594	24999772	30179	+	241	upstream	241	SRRM1
chr1	24969377	24969475	99	*	X00149	10250	24969594	24999772	30179	+	118	upstream	118	SRRM1
chr1	24969827	24969901	75	*	X00150	10250	24969594	24999772	30179	+	0	inside	232	SRRM1
chr1	25664762	25664792	31	*	X00155	23585	25664789	25688852	24064	+	0	overlapStart	0	TMEM50A
chr1	25664762	25664792	31	*	X00155	57035	25568740	25664656	95917	-	105	upstream	105	RSRP1
chr1	25664853	25664965	113	*	X00156	23585	25664789	25688852	24064	+	0	inside	63	TMEM50A
chr1	25664853	25664965	113	*	X00156	57035	25568740	25664656	95917	-	196	upstream	196	RSRP1
chr1	25756562	25756629	68	*	X00157	55219	25757388	25826698	69311	+	758	upstream	758	MACO1
chr1	25756562	25756629	68	*	X00157	6006	25688740	25756683	67944	-	0	inside	53	RHCE
chr1	25756643	25756790	148	*	X00158	55219	25757388	25826698	69311	+	597	upstream	597	MACO1
chr1	25756643	25756790	148	*	X00158	6006	25688740	25756683	67944	-	0	overlapStart	0	RHCE
chr1	25756874	25756921	48	*	X00159	55219	25757388	25826698	69311	+	466	upstream	466	MACO1
chr1	25756874	25756921	48	*	X00159	6006	25688740	25756683	67944	-	190	upstream	190	RHCE
chr1	25943375	25943430	56	*	X00160	57134	25943959	26111258	167300	+	528	upstream	528	MAN1C1
chr1	26146285	26146524	240	*	X00161	56181	26146397	26159433	13037	+	0	overlapStart	0	MTFR1L
chr1	26185752	26185981	230	*	X00162	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	26232784	26233030	247	*	X00166	100500808	26232853	26232945	93	-	0	includeFeature	0	MIR3917
chr1	26324504	26324599	96	*	X00167	5051	26286258	26324648	38391	-	0	inside	48	PAFAH2
chr1	26324813	26325018	206	*	X00168	5051	26286258	26324648	38391	-	164	upstream	164	PAFAH2
chr1	26496341	26496466	126	*	X00169	51042	26496388	26497364	977	+	0	overlapStart	0	ZNF593
chr1	26758689	26758699	11	*	X00170	79947	26758773	26797795	39023	+	73	upstream	73	DHDDS
chr1	26758815	26758883	69	*	X00171	79947	26758773	26797795	39023	+	0	inside	41	DHDDS
chr1	27021918	27021998	81	*	X00176	8289	27022522	27108601	86080	+	523	upstream	523	ARID1A
chr1	27114244	27114462	219	*	X00177	55650	27114454	27124894	10441	+	0	overlapStart	0	PIGV
chr1	27216532	27216575	44	*	X00178	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X00179	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	27248324	27248349	26	*	X00180	10726	27248213	27273362	25150	+	0	inside	110	NUDC
chr1	27481453	27481619	167	*	X00181	6548	27425300	27481621	56322	-	0	inside	1	SLC9A1
chr1	27481696	27481768	73	*	X00182	6548	27425300	27481621	56322	-	74	upstream	74	SLC9A1
chr1	27561043	27561316	274	*	X00183	23038	27561007	27635124	74118	+	0	inside	35	WDTC1
chr1	27648462	27648618	157	*	X00184	644961	27650365	27653016	2652	+	1746	upstream	1746	ACTG1P20
chr1	27648462	27648618	157	*	X00184	84065	27648636	27662891	14256	+	17	upstream	17	TMEM222
chr1	27648688	27648980	293	*	X00185	644961	27650365	27653016	2652	+	1384	upstream	1384	ACTG1P20
chr1	27648688	27648980	293	*	X00185	84065	27648636	27662891	14256	+	0	inside	51	TMEM222
chr1	27930203	27930334	132	*	X00187	27245	27860756	27930361	69606	-	0	inside	26	AHDC1
chr1	27930353	27930431	79	*	X00188	27245	27860756	27930361	69606	-	0	overlapStart	0	AHDC1
chr1	27930478	27930700	223	*	X00189	27245	27860756	27930361	69606	-	116	upstream	116	AHDC1
chr1	28099724	28099901	178	*	X00190	23673	28099694	28150963	51270	+	0	inside	29	STX12
chr1	28157105	28157448	344	*	X00191	5511	28157252	28178183	20932	+	0	overlapStart	0	PPP1R8
chr1	28241142	28241253	112	*	X00192	6118	28218049	28241236	23188	-	0	overlapStart	0	RPA2
chr1	28241329	28241359	31	*	X00193	6118	28218049	28241236	23188	-	92	upstream	92	RPA2
chr1	28559524	28559553	30	*	X00194	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28559580	28559687	108	*	X00195	22826	28526790	28559542	32753	-	37	upstream	37	DNAJC8
chr1	28562668	28562700	33	*	X00196	93974	28562602	28564616	2015	+	0	inside	65	ATP5IF1
chr1	28562727	28562759	33	*	X00197	93974	28562602	28564616	2015	+	0	inside	124	ATP5IF1
chr1	28586031	28586578	548	*	X00199	83667	28585963	28609002	23040	+	0	inside	67	SESN2
chr1	28655240	28655255	16	*	X00200	54797	28655513	28662478	6966	+	257	upstream	257	MED18
chr1	28655348	28655723	376	*	X00201	54797	28655513	28662478	6966	+	0	overlapStart	0	MED18
chr1	28696141	28696359	219	*	X00202	65979	28696093	28826881	130789	+	0	inside	47	PHACTR4
chr1	28879353	28879448	96	*	X00206	54952	28879529	28905057	25529	+	80	upstream	80	TRNAU1AP
chr1	28879557	28879687	131	*	X00207	54952	28879529	28905057	25529	+	0	inside	27	TRNAU1AP
chr1	28879754	28879767	14	*	X00208	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28908468	28908664	197	*	X00209	677825	28906893	28907024	132	-	1443	upstream	1443	SNORA44
chr1	28908468	28908664	197	*	X00209	692073	28907432	28907565	134	-	902	upstream	902	SNORA16A
chr1	28908468	28908664	197	*	X00209	85028	28905050	28908383	3334	-	84	upstream	84	SNHG12
chr1	28969434	28969767	334	*	X00210	6883	28929609	28969604	39996	-	0	overlapStart	0	TAF12
chr1	28974991	28975162	172	*	X00211	26824	28975112	28975246	135	+	0	overlapStart	0	RNU11
chr1	28995197	28995242	46	*	X00213	10691	28995240	29042115	46876	+	0	overlapStart	0	GMEB1
chr1	29063165	29063294	130	*	X00214	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	31191616	31191800	185	*	X00221	100129196	31191619	31199593	7975	+	0	overlapStart	0	MATN1-AS1
chr1	31538446	31538650	205	*	X00223	9698	31404353	31538763	134411	-	0	inside	112	PUM1
chr1	32538354	32538674	321	*	X00225	55116	32538503	32568467	29965	+	0	overlapStart	0	TMEM39B
chr1	32573621	32573714	94	*	X00226	23633	32573644	32642168	68525	+	0	overlapStart	0	KPNA6
chr1	32573756	32573774	19	*	X00227	23633	32573644	32642168	68525	+	0	inside	111	KPNA6
chr1	32645250	32645567	318	*	X00228	200081	32645345	32663886	18542	+	0	overlapStart	0	TXLNA
chr1	32645618	32645657	40	*	X00229	200081	32645345	32663886	18542	+	0	inside	272	TXLNA
chr1	32757398	32758067	670	*	X00230	3065	32757708	32799224	41517	+	0	overlapStart	0	HDAC1
chr1	32860204	32860280	77	*	X00234	55108	32830705	32860062	29358	-	141	upstream	141	BSDC1
chr1	32860326	32860427	102	*	X00235	55108	32830705	32860062	29358	-	263	upstream	263	BSDC1
chr1	32930403	32930474	72	*	X00236	653121	32930658	33071542	140885	+	183	upstream	183	ZBTB8A
chr1	32930403	32930474	72	*	X00236	728116	32930658	32953459	22802	+	183	upstream	183	ZBTB8B
chr1	33116860	33116956	97	*	X00237	339487	33065773	33116185	50413	-	674	upstream	674	ZBTB8OS
chr1	33116860	33116956	97	*	X00237	5928	33116749	33151812	35064	+	0	inside	110	RBBP4
chr1	33282835	33282981	147	*	X00239	64766	33283043	33324480	41438	+	61	upstream	61	S100PBP
chr1	33283177	33283213	37	*	X00240	64766	33283043	33324480	41438	+	0	inside	133	S100PBP
chr1	33430509	33430638	130	*	X00243	127544	33402050	33430286	28237	-	222	upstream	222	RNF19B
chr1	33502389	33502470	82	*	X00244	204	33473541	33502512	28972	-	0	inside	41	AK2
chr1	33647709	33647724	16	*	X00247	55223	33611003	33647671	36669	-	37	upstream	37	TRIM62
chr1	33896370	33896576	207	*	X00250	1912	33789224	33896615	107392	-	0	inside	38	PHC2
chr1	35325236	35325257	22	*	X00251	113444	35315963	35325417	9455	-	0	inside	159	SMIM12
chr1	35325290	35325493	204	*	X00252	113444	35315963	35325417	9455	-	0	overlapStart	0	SMIM12
chr1	35497646	35497671	26	*	X00253	9204	35449368	35497569	48202	-	76	upstream	76	ZMYM6
chr1	35734281	35734330	50	*	X00254	9202	35734568	35887545	152978	+	237	upstream	237	ZMYM4
chr1	35734383	35734533	151	*	X00255	9202	35734568	35887545	152978	+	34	upstream	34	ZMYM4
chr1	36023345	36023429	85	*	X00256	23154	36023393	36032380	8988	+	0	overlapStart	0	NCDN
chr1	36023345	36023429	85	*	X00256	79932	35899091	36023551	124461	-	0	inside	121	KIAA0319L
chr1	36107053	36107237	185	*	X00257	5690	36035413	36107445	72033	-	0	inside	207	PSMB2
chr1	36396475	36397001	527	*	X00262	192669	36396319	36522063	125745	+	0	inside	155	AGO3
chr1	36554305	36554707	403	*	X00263	54936	36554453	36559533	5081	+	0	overlapStart	0	ADPRS
chr1	36554720	36554749	30	*	X00264	54936	36554453	36559533	5081	+	0	inside	266	ADPRS
chr1	36863403	36863491	89	*	X00266	84967	36859031	36863493	4463	-	0	inside	1	LSM10
chr1	36863506	36863544	39	*	X00267	84967	36859031	36863493	4463	-	12	upstream	12	LSM10
chr1	36929803	36930172	370	*	X00270	64960	36921362	36930040	8679	-	0	overlapStart	0	MRPS15
chr1	37980224	37980374	151	*	X00271	64769	37955561	37980420	24860	-	0	inside	45	MEAF6
chr1	37980429	37980570	142	*	X00272	64769	37955561	37980420	24860	-	8	upstream	8	MEAF6
chr1	38020090	38020140	51	*	X00273	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	38100585	38100631	47	*	X00274	284654	38076951	38100595	23645	-	0	overlapStart	0	RSPO1
chr1	38100646	38100722	77	*	X00275	284654	38076951	38100595	23645	-	50	upstream	50	RSPO1
chr1	38259872	38259943	72	*	X00278	149175	38259774	38267278	7505	+	0	inside	97	MANEAL
chr1	38455526	38455720	195	*	X00279	10946	38422652	38455761	33110	-	0	inside	40	SF3A3
chr1	38455785	38455986	202	*	X00280	10946	38422652	38455761	33110	-	23	upstream	23	SF3A3
chr1	38477938	38477959	22	*	X00281	51118	38478384	38490497	12114	+	424	upstream	424	UTP11
chr1	38478001	38478014	14	*	X00282	51118	38478384	38490497	12114	+	369	upstream	369	UTP11
chr1	38478042	38478298	257	*	X00283	51118	38478384	38490497	12114	+	85	upstream	85	UTP11
chr1	38512634	38512638	5	*	X00284	5453	38509523	38512450	2928	-	183	upstream	183	POU3F1
chr1	38513123	38513185	63	*	X00285	5453	38509523	38512450	2928	-	672	upstream	672	POU3F1
chr1	38513209	38513209	1	*	X00286	5453	38509523	38512450	2928	-	758	upstream	758	POU3F1
chr1	40042594	40042721	128	*	X00292	8761	40026485	40042521	16037	-	72	upstream	72	PABPC4
chr1	40156971	40157182	212	*	X00294	51440	40144645	40157089	12445	-	0	overlapStart	0	HPCAL4
chr1	40204296	40204380	85	*	X00295	10450	40204517	40229586	25070	+	136	upstream	136	PPIE
chr1	40204540	40204554	15	*	X00296	10450	40204517	40229586	25070	+	0	inside	22	PPIE
chr1	40348974	40349274	301	*	X00297	54802	40306706	40349177	42472	-	0	overlapStart	0	TRIT1
chr1	40367433	40367657	225	*	X00300	4610	40361096	40367687	6592	-	0	inside	29	MYCL
chr1	40420892	40420958	67	*	X00301	84879	40420784	40435628	14845	+	0	inside	107	MFSD2A
chr1	40562826	40563018	193	*	X00302	5538	40538382	40563142	24761	-	0	inside	123	PPT1
chr1	40626915	40627210	296	*	X00303	6018	40627041	40706593	79553	+	0	overlapStart	0	RLF
chr1	40627248	40627281	34	*	X00304	6018	40627041	40706593	79553	+	0	inside	206	RLF
chr1	40723384	40723677	294	*	X00307	10269	40723722	40759856	36135	+	44	upstream	44	ZMPSTE24
chr1	40723847	40724046	200	*	X00308	10269	40723722	40759856	36135	+	0	inside	124	ZMPSTE24
chr1	40839149	40839162	14	*	X00309	64744	40839378	40888998	49621	+	215	upstream	215	SMAP2
chr1	40915749	40915816	68	*	X00311	65243	40915774	40929390	13617	+	0	overlapStart	0	ZFP69B
chr1	40915923	40915952	30	*	X00312	65243	40915774	40929390	13617	+	0	inside	148	ZFP69B
chr1	40974245	40974255	11	*	X00313	64789	40974433	40982214	7782	+	177	upstream	177	EXO5
chr1	40974268	40974603	336	*	X00314	64789	40974433	40982214	7782	+	0	overlapStart	0	EXO5
chr1	41157379	41157561	183	*	X00315	4802	41157242	41237276	80035	+	0	inside	136	NFYC
chr1	41157807	41157983	177	*	X00316	100130557	41154752	41157933	3182	-	0	overlapStart	0	NFYC-AS1
chr1	42922015	42922115	101	*	X00321	79717	42922173	42926086	3914	+	57	upstream	57	PPCS
chr1	42922015	42922115	101	*	X00321	84217	42896001	42921938	25938	-	76	upstream	76	ZMYND12
chr1	42922135	42922368	234	*	X00322	79717	42922173	42926086	3914	+	0	overlapStart	0	PPCS
chr1	42922135	42922368	234	*	X00322	84217	42896001	42921938	25938	-	196	upstream	196	ZMYND12
chr1	43123975	43124161	187	*	X00323	10465	43124048	43142429	18382	+	0	overlapStart	0	PPIH
chr1	43424684	43424800	117	*	X00325	440584	43424720	43449029	24310	+	0	overlapStart	0	SLC2A1-DT
chr1	43424684	43424800	117	*	X00325	6513	43391046	43424847	33802	-	0	inside	46	SLC2A1
chr1	43996372	43996490	119	*	X00327	5792	43996547	44089343	92797	+	56	upstream	56	PTPRF
chr1	44678874	44679298	425	*	X00332	55929	44679125	44686351	7227	+	0	overlapStart	0	DMAP1
chr1	44870767	44871018	252	*	X00333	55182	44870960	45117396	246437	+	0	overlapStart	0	RNF220
chr1	44871035	44871051	17	*	X00334	55182	44870960	45117396	246437	+	0	inside	74	RNF220
chr1	44871104	44871143	40	*	X00335	55182	44870960	45117396	246437	+	0	inside	143	RNF220
chr1	45241076	45241401	326	*	X00342	26811	45241537	45241610	74	+	135	upstream	135	SNORD55
chr1	45241076	45241401	326	*	X00342	6202	45241246	45244412	3167	+	0	overlapStart	0	RPS8
chr1	45241076	45241401	326	*	X00342	94161	45242164	45242261	98	+	762	upstream	762	SNORD46
chr1	45266043	45266062	20	*	X00343	1263	45266036	45271667	5632	+	0	inside	6	PLK3
chr1	45266121	45266133	13	*	X00344	1263	45266036	45271667	5632	+	0	inside	84	PLK3
chr1	45452137	45452446	310	*	X00348	8891	45316194	45452394	136201	-	0	overlapStart	0	EIF2B3
chr1	45477039	45477052	14	*	X00349	7389	45477805	45481341	3537	+	752	upstream	752	UROD
chr1	45477039	45477052	14	*	X00349	79654	45468220	45477027	8808	-	11	upstream	11	HECTD3
chr1	45477699	45477831	133	*	X00350	7389	45477805	45481341	3537	+	0	overlapStart	0	UROD
chr1	45477699	45477831	133	*	X00350	79654	45468220	45477027	8808	-	671	upstream	671	HECTD3
chr1	45672044	45672177	134	*	X00354	57643	45482076	45672250	190175	-	0	inside	72	ZSWIM5
chr1	45805844	45805881	38	*	X00356	4595	45794914	45806142	11229	-	0	inside	260	MUTYH
chr1	45965714	45965735	22	*	X00357	126661	45959598	45965751	6154	-	0	inside	15	CCDC163
chr1	45965714	45965735	22	*	X00357	25974	45965856	45976739	10884	+	120	upstream	120	MMACHC
chr1	46049609	46049960	352	*	X00359	4678	46049660	46084578	34919	+	0	overlapStart	0	NASP
chr1	46152131	46152184	54	*	X00361	51249	46153847	46160108	6262	+	1662	upstream	1662	TMEM69
